Textbox5
"Częstochowa / Szkoła Podstawowa nr 4 
stan na: 6/14/2025 4:43:30 PM"

tydzien,data_spotk,para,karta
tydz. od 11.11,2024-11-12,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 11.11,2024-11-12,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 11.11,2024-11-12,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 11.11,2024-11-12,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 11.11,2024-11-12,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 11.11,2024-11-12,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 11.11,2024-11-12,W4Name W4Surname-K4Name K4Surname 2025-02-25,spotkanie_zaakceptowane
tydz. od 11.11,2024-11-12,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 11.11,2024-11-12,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 11.11,2024-11-12,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 11.11,2024-11-12,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 11.11,2024-11-13,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 11.11,2024-11-13,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 11.11,2024-11-13,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 11.11,2024-11-13,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 11.11,2024-11-13,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 11.11,2024-11-13,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 11.11,2024-11-13,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 11.11,2024-11-13,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 11.11,2024-11-14,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 11.11,2024-11-14,W2Name W2Surname-K2Name K2Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 11.11,2024-11-14,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 11.11,2024-11-14,W4Name W4Surname-K4Name K4Surname 2025-02-25,spotkanie_do_akceptacji
tydz. od 11.11,2024-11-14,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 11.11,2024-11-14,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 11.11,2024-11-14,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 11.11,2024-11-14,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 11.11,2024-11-16,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 11.11,2024-11-16,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 11.11,2024-11-16,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,wydarzenie_do_akceptacji
tydz. od 11.11,2024-11-16,W4Name W4Surname-K4Name K4Surname 2025-02-25,wydarzenie_do_akceptacji
tydz. od 11.11,2024-11-16,W5Name W5Surname-K5Name K5Surname 2024-11-20,wydarzenie_do_akceptacji
tydz. od 11.11,2024-11-16,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 11.11,2024-11-16,W7Name W7Surname-K7Name K7Surname 2024-10-28,wydarzenie_do_akceptacji
tydz. od 11.11,2024-11-16,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 18.11,2024-11-18,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 18.11,2024-11-18,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 18.11,2024-11-18,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 18.11,2024-11-18,W4Name W4Surname-K4Name K4Surname 2025-02-25,odwolal_wolontariusz
tydz. od 18.11,2024-11-18,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 18.11,2024-11-18,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 18.11,2024-11-18,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 18.11,2024-11-18,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 18.11,2024-11-20,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 18.11,2024-11-20,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 18.11,2024-11-20,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 18.11,2024-11-20,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 18.11,2024-11-20,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 18.11,2024-11-20,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 18.11,2024-11-20,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 18.11,2024-11-20,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 18.11,2024-11-21,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 18.11,2024-11-21,W2Name W2Surname-K2Name K2Surname 2024-10-28,spotkanie_zaakceptowane
tydz. od 18.11,2024-11-21,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 18.11,2024-11-21,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 18.11,2024-11-21,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 18.11,2024-11-21,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 18.11,2024-11-21,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 18.11,2024-11-21,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 18.11,2024-11-22,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 18.11,2024-11-22,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 18.11,2024-11-22,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 18.11,2024-11-22,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 18.11,2024-11-22,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 18.11,2024-11-22,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 18.11,2024-11-22,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 18.11,2024-11-22,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 25.11,2024-11-27,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 25.11,2024-11-27,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 25.11,2024-11-27,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 25.11,2024-11-27,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 25.11,2024-11-27,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 25.11,2024-11-27,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 25.11,2024-11-27,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 25.11,2024-11-27,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 25.11,2024-11-28,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 25.11,2024-11-28,W2Name W2Surname-K2Name K2Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 25.11,2024-11-28,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 25.11,2024-11-28,W4Name W4Surname-K4Name K4Surname 2025-02-25,spotkanie_do_akceptacji
tydz. od 25.11,2024-11-28,W5Name W5Surname-K5Name K5Surname 2024-11-20,spotkanie_do_akceptacji
tydz. od 25.11,2024-11-28,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 25.11,2024-11-28,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 25.11,2024-11-28,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 02.12,2024-12-03,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 02.12,2024-12-03,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 02.12,2024-12-03,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 02.12,2024-12-03,W4Name W4Surname-K4Name K4Surname 2025-02-25,odwolal_wolontariusz
tydz. od 02.12,2024-12-03,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 02.12,2024-12-03,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 02.12,2024-12-03,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 02.12,2024-12-03,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 02.12,2024-12-04,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 02.12,2024-12-04,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 02.12,2024-12-04,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 02.12,2024-12-04,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 02.12,2024-12-04,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 02.12,2024-12-04,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 02.12,2024-12-04,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 02.12,2024-12-04,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 02.12,2024-12-04,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 02.12,2024-12-04,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 02.12,2024-12-04,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,spotkanie_zaakceptowane
tydz. od 02.12,2024-12-04,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 02.12,2024-12-04,W5Name W5Surname-K5Name K5Surname 2024-11-20,spotkanie_zaakceptowane
tydz. od 02.12,2024-12-04,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 02.12,2024-12-04,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 02.12,2024-12-04,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 02.12,2024-12-05,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 02.12,2024-12-05,W2Name W2Surname-K2Name K2Surname 2024-10-28,odwolalo_dziecko
tydz. od 02.12,2024-12-05,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 02.12,2024-12-05,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 02.12,2024-12-05,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 02.12,2024-12-05,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 02.12,2024-12-05,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 02.12,2024-12-05,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 02.12,2024-12-07,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 02.12,2024-12-07,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 02.12,2024-12-07,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,wydarzenie_do_akceptacji
tydz. od 02.12,2024-12-07,W4Name W4Surname-K4Name K4Surname 2025-02-25,wydarzenie_do_akceptacji
tydz. od 02.12,2024-12-07,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 02.12,2024-12-07,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 02.12,2024-12-07,W7Name W7Surname-K7Name K7Surname 2024-10-28,wydarzenie_do_akceptacji
tydz. od 02.12,2024-12-07,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 02.12,2024-12-07,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 02.12,2024-12-07,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 02.12,2024-12-07,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 02.12,2024-12-07,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 02.12,2024-12-07,W5Name W5Surname-K5Name K5Surname 2024-11-20,wydarzenie_zaakceptowane
tydz. od 02.12,2024-12-07,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 02.12,2024-12-07,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 02.12,2024-12-07,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 09.12,2024-12-09,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 09.12,2024-12-09,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 09.12,2024-12-09,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 09.12,2024-12-09,W4Name W4Surname-K4Name K4Surname 2025-02-25,odwolal_wolontariusz
tydz. od 09.12,2024-12-09,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 09.12,2024-12-09,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 09.12,2024-12-09,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 09.12,2024-12-09,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 09.12,2024-12-11,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 09.12,2024-12-11,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 09.12,2024-12-11,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 09.12,2024-12-11,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 09.12,2024-12-11,W5Name W5Surname-K5Name K5Surname 2024-11-20,brak_zajec
tydz. od 09.12,2024-12-11,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 09.12,2024-12-11,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 09.12,2024-12-11,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 09.12,2024-12-11,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 09.12,2024-12-11,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 09.12,2024-12-11,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 09.12,2024-12-11,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 09.12,2024-12-11,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 09.12,2024-12-11,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 09.12,2024-12-11,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 09.12,2024-12-11,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 09.12,2024-12-12,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 09.12,2024-12-12,W2Name W2Surname-K2Name K2Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 09.12,2024-12-12,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 09.12,2024-12-12,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 09.12,2024-12-12,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 09.12,2024-12-12,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 09.12,2024-12-12,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 09.12,2024-12-12,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 09.12,2024-12-13,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 09.12,2024-12-13,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 09.12,2024-12-13,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,odwolalo_dziecko
tydz. od 09.12,2024-12-13,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 09.12,2024-12-13,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 09.12,2024-12-13,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 09.12,2024-12-13,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 09.12,2024-12-13,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 09.12,2024-12-13,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 09.12,2024-12-13,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 09.12,2024-12-13,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 09.12,2024-12-13,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 09.12,2024-12-13,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 09.12,2024-12-13,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 09.12,2024-12-13,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 09.12,2024-12-13,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 16.12,2024-12-17,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 16.12,2024-12-17,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W4Name W4Surname-K4Name K4Surname 2025-02-25,odrabianie_zajec_zaakceptowane
tydz. od 16.12,2024-12-17,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 16.12,2024-12-17,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 16.12,2024-12-17,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 16.12,2024-12-17,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 16.12,2024-12-17,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W4Name W4Surname-K4Name K4Surname 2025-02-25,odwolal_wolontariusz
tydz. od 16.12,2024-12-17,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 16.12,2024-12-17,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 16.12,2024-12-17,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 16.12,2024-12-17,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 16.12,2024-12-17,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W4Name W4Surname-K4Name K4Surname 2025-02-25,spotkanie_do_akceptacji
tydz. od 16.12,2024-12-17,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 16.12,2024-12-17,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 16.12,2024-12-17,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 16.12,2024-12-17,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 16.12,2024-12-18,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 16.12,2024-12-18,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 16.12,2024-12-18,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 16.12,2024-12-18,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 16.12,2024-12-18,W5Name W5Surname-K5Name K5Surname 2024-11-20,spotkanie_do_akceptacji
tydz. od 16.12,2024-12-18,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 16.12,2024-12-18,W7Name W7Surname-K7Name K7Surname 2024-10-28,spotkanie_do_akceptacji
tydz. od 16.12,2024-12-18,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 16.12,2024-12-19,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 16.12,2024-12-19,W2Name W2Surname-K2Name K2Surname 2024-10-28,brak_zajec
tydz. od 16.12,2024-12-19,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 16.12,2024-12-19,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 16.12,2024-12-19,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 16.12,2024-12-19,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 16.12,2024-12-19,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 16.12,2024-12-19,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 16.12,2024-12-20,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 16.12,2024-12-20,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 16.12,2024-12-20,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,odwolalo_dziecko
tydz. od 16.12,2024-12-20,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 16.12,2024-12-20,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 16.12,2024-12-20,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 16.12,2024-12-20,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 16.12,2024-12-20,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 23.12,2024-12-23,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 23.12,2024-12-23,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 23.12,2024-12-23,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,brak_zajec
tydz. od 23.12,2024-12-23,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 23.12,2024-12-23,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 23.12,2024-12-23,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 23.12,2024-12-23,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 23.12,2024-12-23,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 23.12,2024-12-24,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 23.12,2024-12-24,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 23.12,2024-12-24,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 23.12,2024-12-24,W4Name W4Surname-K4Name K4Surname 2025-02-25,brak_zajec
tydz. od 23.12,2024-12-24,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 23.12,2024-12-24,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 23.12,2024-12-24,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 23.12,2024-12-24,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 23.12,2024-12-25,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 23.12,2024-12-25,W2Name W2Surname-K2Name K2Surname 2024-10-28,
tydz. od 23.12,2024-12-25,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 23.12,2024-12-25,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 23.12,2024-12-25,W5Name W5Surname-K5Name K5Surname 2024-11-20,brak_zajec
tydz. od 23.12,2024-12-25,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 23.12,2024-12-25,W7Name W7Surname-K7Name K7Surname 2024-10-28,brak_zajec
tydz. od 23.12,2024-12-25,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 23.12,2024-12-26,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 23.12,2024-12-26,W2Name W2Surname-K2Name K2Surname 2024-10-28,brak_zajec
tydz. od 23.12,2024-12-26,W3Name W3Surname-W3Surname-K3Name K3Surname 2024-10-28,
tydz. od 23.12,2024-12-26,W4Name W4Surname-K4Name K4Surname 2025-02-25,
tydz. od 23.12,2024-12-26,W5Name W5Surname-K5Name K5Surname 2024-11-20,
tydz. od 23.12,2024-12-26,W6Name W6Surname-K6Name K6Surname 2025-01-09,
tydz. od 23.12,2024-12-26,W7Name W7Surname-K7Name K7Surname 2024-10-28,
tydz. od 23.12,2024-12-26,W8Name W8Surname-K8Name K8Surname 2025-01-15,
tydz. od 23.12,2024-12-27,W1Name W1Surname-K1Name K1Surname 2025-03-13,
tydz. od 23.12,2024-12-27,W2Name W2Surname-K2Name K2Surname 2024-10-28,
